net,length_um
_06824_,310.64
cur_mb_mem\[112\]\[6\],309.78
_03498_,309.51
_06316_,308.87
_03898_,308.7
_07020_,307.62
cur_mb_mem\[29\]\[1\],307.62
_04273_,307.6
cur_mb_mem\[1\]\[1\],307.18
cur_mb_mem\[246\]\[1\],305.98
_04851_,305.04
_02763_,304.96
_03212_,304.73
_06460_,304.705
_02941_,304.32
_02755_,304.06
_03838_,304.02
_03817_,303.86
_03890_,303.78
cur_mb_mem\[32\]\[2\],303.67
cur_mb_mem\[124\]\[7\],303.665
_08293_,303.5
_07881_,303.35
_03007_,302.62
_08511_,302.62
_07275_,302.22
clknet_5_21__leaf_clk,301.88
_06247_,300.86
_07684_,300.65
_06766_,300.54
_08532_,300.22
_05997_,299.26
_04724_,298.015
_09184_,297.72
_05920_,297.41
_04003_,296.68
cur_mb_mem\[117\]\[6\],296.1
cur_mb_mem\[117\]\[7\],296.1
_07315_,295.44
cur_mb_mem\[114\]\[6\],295.43
_03888_,294.9
_06255_,294.48
_07130_,294.095
cur_mb_mem\[204\]\[7\],293.37
_03896_,292.8
cur_mb_mem\[120\]\[6\],292.415
_03038_,292.39
_07028_,292.29
_07813_,292.18
_07183_,290.86
_08209_,290.72
_07182_,290.68
_04015_,290.56
_08602_,290.23
cur_mb_mem\[74\]\[7\],290.07
_03123_,290.055
_07673_,289.81
_04019_,288.9
_07890_,288.86
cur_mb_mem\[207\]\[6\],288.84
_07743_,288.7
_06775_,288.51
_08187_,287.85
_06585_,287.72
_06949_,287.6
_06354_,287.42
net18,287.38
cur_mb_mem\[244\]\[2\],287.37
_02327_,286.94
_07012_,286.51
net113,286.28
_07431_,286.27
cur_mb_mem\[190\]\[1\],286.27
_07239_,286.26
_06335_,286.25
_06424_,285.24
_05067_,285.06
_06964_,285
_04262_,284.72
_03048_,284.54
clknet_5_19__leaf_clk,283.13
_09230_,283.07
_05963_,282.8
_07745_,282.16
cur_mb_mem\[207\]\[5\],282.12
cur_mb_mem\[100\]\[7\],281.94
_03807_,281.8
_07147_,281.7
_07478_,281.69
cur_mb_mem\[79\]\[2\],281.36
_02462_,281.2
_07617_,280.92
net189,280.64
cur_mb_mem\[132\]\[5\],280.5
cur_mb_mem\[223\]\[1\],280.35
cur_mb_mem\[79\]\[0\],279.94
cur_mb_mem\[132\]\[4\],279.72
cur_mb_mem\[96\]\[6\],279.42
_09212_,279.12
_06163_,278.8
net106,278.62
_02776_,278.54
net30,278.3
_07194_,278.22
_06083_,278.19
cur_mb_mem\[207\]\[4\],277.75
_08670_,277.71
cur_mb_mem\[243\]\[6\],277.7
_07488_,277.64
_06277_,277.315
_08192_,277.04
_06311_,276.92
_07941_,276.84
_02749_,276.795
_06256_,276.01
_02539_,275.6
_08153_,275.02
_06959_,274.84
_06802_,274.8
_07214_,273.54
_07654_,273.48
net151,273.4
_07337_,273.3
_08066_,272.92
_02439_,272.86
_06449_,272.76
_03373_,272.73
net179,272.72
_04025_,272.54
_04176_,272.34
cur_mb_mem\[217\]\[6\],272.1
_08222_,271.98
_08343_,271.595
cur_mb_mem\[201\]\[7\],271.02
_06423_,270.81
_03993_,270.69
cur_mb_mem\[242\]\[6\],270.67
_07363_,270.58
_03745_,270.24
_07630_,269.84
_06974_,269.48
_03595_,269.44
cur_mb_mem\[197\]\[2\],269.38
_08302_,269.06
_07350_,268.8
net120,268.16
_07586_,267.9
net162,267.52
_08014_,266.98
cur_mb_mem\[229\]\[6\],266.76
_06582_,266.74
net159,266.52
_03383_,266.46
cur_mb_mem\[198\]\[7\],265.92
net33,265.7
_07417_,265.4
_09096_,265.28
_07933_,264.96
cur_mb_mem\[121\]\[6\],264.63
_04455_,264.1
_07497_,264
_04166_,262.94
_06297_,262.92
_08656_,262.89
net146,262.72
cand_y\[0\],262.62
_07663_,261.48
_03828_,261.44
_07063_,261.42
_05506_,260.86
_07256_,260.2
_06248_,260.18
cur_mb_mem\[211\]\[6\],259.92
_06344_,259.67
_06448_,259.44
_08220_,259.22
_08310_,258.72
cur_mb_mem\[73\]\[4\],258.42
cur_mb_mem\[120\]\[7\],258.38
_07429_,258.16
_02350_,257.86
cur_mb_mem\[184\]\[2\],257.5
_08557_,257.29
net279,256.87
_03712_,256.86
_04204_,256.72
_05530_,256.42
_02757_,256.14
_06250_,255.29
